INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D0CB3F60>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AA4780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D0CB3F60>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AA4780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0630>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AC03C8>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0630>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AC03C8>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0080>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AC0A58>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0080>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AC0A58>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0AC8>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AC0C50>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0AC8>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AC0C50>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0F98>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AF0048>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AC0F98>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AF0048>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AF0278>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001E2D1AF0400>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001E2D1AF0278>, 'SLI', <__main__.AESCipher object at 0x000001E2D1AF0400>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001A0B0FF3E48>, 'Encryption cipher working', <__main__.AESCipher object at 0x000001A0B1DF3710>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x000001A0B0FF3E48>, 'SLI', <__main__.AESCipher object at 0x000001A0B1DF3710>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000026243203FD0>, 'Encryption cipher working', <__main__.AESCipher object at 0x0000026243FC45F8>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000026243203FD0>, 'SLI', <__main__.AESCipher object at 0x0000026243FC45F8>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Admins object at 0x0000026243203FD0>, 'Hello World!', 'Nick', 'Admin'), and kwargs: {}
INFO:root:Ran with args: (<__main__.Admins object at 0x0000026243203FD0>, 'MSG|Nick|Admin|Hello World!', <__main__.AESCipher object at 0x0000026243FC45F8>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x00000262436F7F60>, 'Encryption cipher working', <__main__.AESCipher object at 0x0000026243FE0780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x00000262436F7F60>, 'SLI', <__main__.AESCipher object at 0x0000026243FE0780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB6523F60>, 'Encryption cipher working', <__main__.AESCipher object at 0x0000010EB7314780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB6523F60>, 'SLI', <__main__.AESCipher object at 0x0000010EB7314780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB7330390>, 'Encryption cipher working', <__main__.AESCipher object at 0x0000010EB7330358>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB7330390>, 'ASC', <__main__.AESCipher object at 0x0000010EB7330358>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB7330390>, 'Hello World!', 'Luke', 'Standard'), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB7330390>, 'MSG|Luke|Standard|Hello World!', <__main__.AESCipher object at 0x0000010EB7330358>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Admins object at 0x0000010EB6523F60>, 'MSG|Luke|Standard|Hello World!', <__main__.AESCipher object at 0x0000010EB7314780>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Admins object at 0x0000010EB6523F60>, 'Hello Luke!', 'Nick', 'Admin'), and kwargs: {}
INFO:root:Ran with args: (<__main__.Members object at 0x0000010EB7330390>, 'MSG|Nick|Admin|Hello Luke!', <__main__.AESCipher object at 0x0000010EB7330358>), and kwargs: {}
INFO:root:Ran with args: (<__main__.Admins object at 0x0000010EB6523F60>, 'MSG|Nick|Admin|Hello Luke!', <__main__.AESCipher object at 0x0000010EB7314780>), and kwargs: {}
